Year,Decile,Company,Share_Percent
2022,1,Lilly,58.2
2022,1,Novo,41.8
2022,2,Lilly,60.2
2022,2,Novo,39.8
2022,3,Lilly,62.3
2022,3,Novo,37.7
2022,4,Lilly,61.9
2022,4,Novo,38.1
2022,5,Lilly,59.2
2022,5,Novo,40.8
2022,6,Lilly,58.6
2022,6,Novo,41.4
2022,7,Lilly,57.4
2022,7,Novo,42.6
2022,8,Lilly,55.7
2022,8,Novo,44.3
2022,9,Lilly,54.8
2022,9,Novo,45.2
2022,10,Lilly,52.2
2022,10,Novo,47.8
2023,1,Lilly,44.8
2023,1,Novo,55.2
2023,2,Lilly,41.0
2023,2,Novo,59.0
2023,3,Lilly,41.1
2023,3,Novo,58.9
2023,4,Lilly,42.6
2023,4,Novo,57.4
2023,5,Lilly,43.8
2023,5,Novo,56.2
2023,6,Lilly,44.7
2023,6,Novo,55.3
2023,7,Lilly,45.7
2023,7,Novo,54.3
2023,8,Lilly,47.1
2023,8,Novo,52.9
2023,9,Lilly,48.0
2023,9,Novo,52.0
2023,10,Lilly,48.8
2023,10,Novo,51.2
