Year,Decile_Group,Brand,Share_Percent
2022,1. Low (D1-3),Mounjaro,0.2
2022,1. Low (D1-3),Ozempic,34.4
2022,1. Low (D1-3),Rybelsus,5.2
2022,1. Low (D1-3),Trulicity,60.2
2022,2. Mid (D4-7),Mounjaro,0.2
2022,2. Mid (D4-7),Ozempic,35.8
2022,2. Mid (D4-7),Rybelsus,5.4
2022,2. Mid (D4-7),Trulicity,58.6
2022,3. High (D8-10),Mounjaro,0.7
2022,3. High (D8-10),Ozempic,40.4
2022,3. High (D8-10),Rybelsus,6.3
2022,3. High (D8-10),Trulicity,52.7
2023,1. Low (D1-3),Mounjaro,5.2
2023,1. Low (D1-3),Ozempic,53.9
2023,1. Low (D1-3),Rybelsus,4.1
2023,1. Low (D1-3),Trulicity,36.9
2023,2. Mid (D4-7),Mounjaro,7.4
2023,2. Mid (D4-7),Ozempic,50.3
2023,2. Mid (D4-7),Rybelsus,5.1
2023,2. Mid (D4-7),Trulicity,37.1
2023,3. High (D8-10),Mounjaro,13.0
2023,3. High (D8-10),Ozempic,45.8
2023,3. High (D8-10),Rybelsus,5.8
2023,3. High (D8-10),Trulicity,35.3
