Specialty,Decile_Group,Novo_Share
Endocrinology,High (D8-10),51.0
Endocrinology,Low (D1-3),66.2
Endocrinology,Mid (D4-7),55.1
Family Practice,High (D8-10),51.5
Family Practice,Low (D1-3),58.1
Family Practice,Mid (D4-7),55.0
Internal Medicine,High (D8-10),52.8
Internal Medicine,Low (D1-3),59.7
Internal Medicine,Mid (D4-7),57.1
Nurse Practitioner,High (D8-10),50.4
Nurse Practitioner,Low (D1-3),56.4
Nurse Practitioner,Mid (D4-7),54.1
Physician Assistant,High (D8-10),51.6
Physician Assistant,Low (D1-3),58.6
Physician Assistant,Mid (D4-7),54.6
